Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,Is Average d electrons>=5? Yes (1) or no (0),pH,Catalyst Loading (mg/cm2),Catalyst>=1 or not,Overpotential (mV),Grade
Fe0.1Ni0.9Co2O4,Co,0,0,0,0,0,0,2,0,0,NF,0,2,0.1,0.9,0,0,0,0,0,0,0,0,4,0,14,,,435,F
NiCo2O4@NiWO4,Co,1,0,0,0,0,0,2,1,1,NF,0,2,2,0,0,0,0,0,0,0,1,0,4.25,0,14,,,310,A
Fe0.25Ni0.75Co2O4,Co,0,0,0,0,0,0,2,0,0,NF,0,2,0.75,0.25,0,0,0,0,0,0,0,0,4.25,0,14,,,380,F
NiCo2O4/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,4.33,0,14,,,340,A
FeCoGaOx,Co,0,0,0,0,0,1,8,0,0,TM_based,31,1,0,1,0,0,0,0,0,0,0,0,4.333333333,0,14,0.4,0,275,A
Zn0.2Co2.8O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.8,0,0,0,0,0,0.2,0,0,0,0,4.333333333,0,13,1,1,325,A
LiCoO2,Co,0,0,1,3,0,0,8,0,0,GC,3,1,0,0,0,0,0,0,0,0,0,0,4.5,0,12.6,0.232,0,430,F
NiCo2O3@OMC,Co,1,0,1,3,0,0,3,2,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,4.5,0,14,0.567,0,281,A
Co3O4,Co,1,0,0,0,0,0,7,3,0,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,4.55,0,13,0.4,0,392,F
Ni2CoO,Ni,1,0,0,0,0,0,6,0,1,GC,0,1,2,0,0,0,0,0,0,0,0,0,4.666666667,0,13,0.2,0,410,F
NiCo2O4/C,Co,1,0,1,3,0,0,3,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,4.714285714,0,14,,,418,F
CoFe2O4/C,Fe,1,0,1,3,0,0,6,1,1,NF,0,1,0,2,0,0,0,0,0,0,0,0,4.857142667,0,14,1.03,1,240,A
