Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Overpotential (mV),Stability (h),"iR correction 
"
Ni3N/r-GO,Ni,1,1,318,-,1
Ni3FeN,Ni,0,1,362,-,1
Ni3FeN,Ni,0,1,280,9,-
Ni3N,Ni,0,1,430,-,-
Ni3FeN,Ni,0,1,320,-,-
Ni3FeN,Ni,0,1,190,20,0
Ni3N,Ni,0,1,340,-,0
Ni3Fe/Ni3FeN,Ni,1,1,268,22.2,0
Ni3Fe/Ni3FeN,Ni,1,1,287,-,0
Ni3FeN,Ni,0,1,300,-,0
S-NiO/NF,Ni,1,0,306,24,1
Fe0.36Co0.23Ni0.41Ox,Ni,0,0,280,,1
Co0.41Ni0.59Ox,Ni,0,0,310,-,1
Co0.19Ni0.81Ox,Ni,0,0,320,,1
Fe0.2Co0.19Ni0.6Ox,Ni,0,0,270,,1
Fe0.4Ni0.6Ox,Ni,0,0,280,-,1
Fe0.14Ni0.86Ox,Ni,0,0,240,,1
NiOx,Ni,0,0,290,-,1
NiO,Ni,0,0,540,-,-
NiO,Ni,0,0,328,12,-
Ni3FeN,Ni,0,1,223,-,-
Ni0.2Mo0.8N,Ni,1,1,295,20,1
Ni2CoN,Ni,0,1,214,60,1
NiN,Ni,0,1,290,-,1
Ni2CoO3@OMC,Ni,1,0,460,2,-
NiCoO2@OMC,Ni,1,0,390,2,-
FeNi3/NiFeOx,Ni,1,0,240,1.66,1
NiFeOx,Ni,0,0,285,-,1
Ni3N/CMFs/Ni3N,Ni,1,1,273,40,1
Ni3N-CNTs,Ni,1,1,321,-,1
Ni3N-MPCs,Ni,1,1,364,-,1
Ni3N-Gr,Ni,1,1,377,-,1
Ni3N,Ni,0,1,507,-,1
NiO,Ni,0,0,540,-,1
Ni3FeN,Ni,0,1,210,30,1
Ni3FeN,Ni,0,1,280,-,1
NiMoN,Ni,0,1,290,48,1
NiVN@OOH,Ni,1,1,233,20,1
Ni3N@OOH,Ni,1,1,348,20,1
Ni3N@Ni-Ci NA/CC,Ni,1,1,400,12,1
Ni3N@Ni-Ci NA/CC,Ni,1,1,630,-,1
Ni3N,Ni,1,1,540,-,1
Ni3N@C,Ni,1,1,401,100,1
Ni3FeN@C,Ni,1,1,279,100,1
NiMoN,Ni,0,1,276,-,-
NiFeMoN,Ni,1,1,228,25,-
NiMoN@NiFeN,Ni,1,1,277,48,1
NiFeN,Ni,0,1,348,-,1
NiMoN,Ni,0,1,350,-,1
NiCo@C-NiCoMoO/NF,Ni,1,0,260,340,1
NiCo-NiCoMoO/NF,Ni,0,0,280,-,1
NiCoMoO/NF,Ni,0,0,320,-,1
NiO,Ni,0,0,420,-,-
Mo-Ni3FeN,Ni,1,1,250,12,1
