Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Concentration Electrolyte,Catalyst Loading (mg/cm2),Overpotential (mV)
NiCo2O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,1.814285714,14,1,,426
NiCo2O4,Co,0,0,0,0,0,0,6,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,3,14,1,25.5,428
NiCo2O4,Co,0,0,0,0,0,0,2,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,14,1,1.06,430
Co10Ox,Co,0,0,1,2,1,0,7,0,1,GC,0,10,0,0,0,0,0,0,0,0,0,0,3.114285714,14,1,0.357,430
Co3O4,Co,0,0,1,4,0,0,7,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,1.814285714,14,1,0.204,430
LiCoO2,Co,0,0,1,3,0,0,8,0,0,GC,3,1,0,0,0,0,0,0,0,0,0,0,4.5,12.6,0.1,0.232,430
Co3O4,Co,0,0,0,0,0,0,6,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,,433
Fe0.1Ni0.9Co2O4,Co,0,0,0,0,0,0,2,0,0,NF,0,2,0.1,0.9,0,0,0,0,0,0,0,0,4,14,1,,435
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,1.5,14,1,0.042,440
Co3O4,Co,0,0,0,0,0,0,6,0,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,0,14,1,0.12,440
Co3O4,Co,0,0,0,0,0,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,1.5,13,0.1,0.1,449
NiO/CoN/ amorphous C3N4,Co,1,1,1,3,0,0,3,1,1,NF,0,1,6.44,0,0,0,0,0,0,0,0,0,3.75,14,1,,195
CoVFeN@NF,Co,1,1,0,0,0,0,3,1,1,NF,0,1,0,1,0,0,0,0,0,1,0,0,4,14,1,1.66,212
FeCoOx-Vo-S,Co,1,0,0,0,0,1,7,0,0,GC,16,1,0,2,0,0,0,0,0,0,0,0,,14,1,0.36,217
Co3O4/C,Co,1,0,1,3,0,0,2,3,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,6,14,1,0.2,223
Co3OxNy,Co,1,1,1,3,0,0,7,3,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,,14,1,,230
CuCo2Nx@NC,Co,1,1,1,3,1,0,7,2,1,carbon_based,0,6.15,0,0,0,0,2.86,0,0,0,0,0,,14,1,2,230
Au/CoMoNx,Co,1,1,0,0,0,1,7,3,1,GC,79,1,0,0,1,0,0,0,0,0,0,0,,14,1,7.25,230
CoWN/NF,Co,1,1,0,0,0,0,6,1,1,NF,0,1,0,0,0,0,0,0,0,0,5,0,,14,1,,232
Co3O4@CoP,Co,1,0,0,0,0,1,4,1,0,GC,15,1.478,0,0,0,0,0,0,0,0,0,0,2.214285714,14,1,1,238
Cr-NiCo2O4/NF,Co,1,0,0,0,0,0,2,1,1,NF,0,2,1,0,0,0,0,0,0.0279,0,0,0,4.892857143,14,1,1,238
Co5.47N/NC,Co,1,1,1,3,1,0,3,0,1,GC,0,5.03,0,0,0,0,0,0,0,0,0,0,6.26,14,1,0.45,248
CoN/CC,Co,1,1,1,3,0,0,2,2,1,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,3.5,14,1,,251
Co3O4/Fe2O3/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,3,0,2,0,0,0,0,0,0,0,0,,14,1,0.325,254
Co4N/CC,Co,1,1,1,3,0,0,2,2,1,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,5.6,14,1,0.82,257
Co4N/CC,Co,1,1,1,3,0,0,2,2,1,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,5.6,14,1,0.82,257
Co4N@NC,Co,1,1,1,3,1,0,3,0,1,GC,0,4,0,0,0,0,0,0,0,0,0,0,5.6,14,1,0.285,257
CoO/Co3O4,Co,1,0,0,0,0,0,5,0,1,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,2.964285714,14,1,,260
Co2N0.67 - CMF,Co,1,1,1,1,0,0,6,2,0,GC,0,2,0,0,0,0,0,0,0,0,0,0,5.243445693,14,1,0.459,260
